work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,weekly_hours,age,gender,birthday,sun_sign,moon_sign,ascendant_sign,sign_type,Sun,Moon,Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto
2023,SE,FT,Principal Data Scientist,80000,EUR,85847,ES,100,ES,L,42.893607215991565,43,Male,1980-12-09 07:44:12,Sagittarius,Capricorn,Sagittarius,Fire,,,,,,,,,,
2023,MI,CT,ML Engineer,30000,USD,30000,US,100,US,S,34.16615431966165,30,Female,1993-07-01 03:29:42,Cancer,Sagittarius,Pisces,Water,4,8,4,2,5,6,,,,
2023,MI,CT,ML Engineer,25500,USD,25500,US,100,US,S,37.69376030123278,33,Female,1990-02-11 06:26:21,Aquarius,Virgo,Scorpio,Air,2,9,1,1,1,7,1,1,1,
2023,SE,FT,Data Scientist,175000,USD,175000,CA,100,CA,M,43.98062500921797,32,Male,1991-09-03 07:38:44,Virgo,Cancer,Leo,Earth,1,10,,,,,,,,
2023,SE,FT,Data Scientist,120000,USD,120000,CA,100,CA,M,43.99286367243182,43,Male,1980-10-09 04:20:06,Libra,Libra,Cancer,Air,3,3,3,1,4,2,2,4,4,3
2023,SE,FT,Applied Scientist,222200,USD,222200,US,0,US,L,37.396953781646324,39,Male,1984-11-08 19:19:12,Scorpio,Taurus,Pisces,Water,7,1,8,9,10,9,7,8,9,7
2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L,37.220357800375936,43,Male,1980-12-23 08:43:01,Capricorn,Cancer,Scorpio,Earth,1,8,1,,,,,,,
2023,SE,FT,Data Scientist,219000,USD,219000,CA,0,CA,M,49.21654380101194,45,Male,1978-01-25 11:37:37,Aquarius,Leo,Capricorn,Air,,,,,,,,,,
2023,SE,FT,Data Scientist,141000,USD,141000,CA,0,CA,M,45.622010765005555,33,Male,1990-01-08 21:00:48,Capricorn,Gemini,Cancer,Earth,6,,,,,,,,,
2023,SE,FT,Data Scientist,147100,USD,147100,US,0,US,M,37.48279160919937,40,Male,1983-03-12 16:26:30,Pisces,Aquarius,Gemini,Water,,,,,,,,,,
2023,SE,FT,Data Scientist,90700,USD,90700,US,0,US,M,40.65508182062902,42,Male,1981-05-10 03:39:40,Taurus,Leo,Capricorn,Earth,3,6,4,4,3,8,8,10,,
2023,SE,FT,Data Analyst,130000,USD,130000,US,100,US,M,38.65766998237676,30,Male,1993-04-22 17:44:59,Taurus,Taurus,Leo,Earth,8,8,8,,,,,,,
2023,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M,37.711539156926584,32,Male,1991-04-05 10:35:40,Aries,Sagittarius,Aries,Fire,,,,,,,,,,
2023,EN,FT,Applied Scientist,213660,USD,213660,US,0,US,L,37.22148936009387,20,Male,2003-03-27 04:48:57,Aries,Aquarius,Sagittarius,Fire,,,,,,,,,,
2023,EN,FT,Applied Scientist,130760,USD,130760,US,0,US,L,32.3518505728186,21,Male,2002-12-21 00:32:35,Sagittarius,Cancer,Leo,Fire,4,,,,,,,,,
2023,SE,FT,Data Modeler,147100,USD,147100,US,0,US,M,36.655353680166094,48,Male,1975-10-07 22:14:09,Libra,Scorpio,Aries,Air,6,7,6,5,2,,,,,
2023,SE,FT,Data Modeler,90700,USD,90700,US,0,US,M,37.170556808537405,34,Male,1989-03-13 16:56:04,Pisces,Gemini,Cancer,Water,,,,,,,,,,
2023,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M,39.02756859267489,43,Male,1980-12-12 21:43:43,Sagittarius,Aquarius,Gemini,Fire,5,8,5,5,7,4,4,5,6,4
2023,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M,33.4256736419768,37,Male,1986-10-17 07:13:54,Libra,Aries,Virgo,Air,1,,,,,,,,,
2023,MI,FT,Data Analyst,150000,USD,150000,US,100,US,M,33.23715262327838,22,Male,2001-05-21 21:44:39,Gemini,Taurus,Scorpio,Air,7,6,7,5,1,7,7,3,3,1
2023,MI,FT,Data Analyst,110000,USD,110000,US,100,US,M,37.25385581746342,30,Male,1993-01-10 22:04:24,Capricorn,Leo,Cancer,Earth,5,1,5,,,,,,,
2023,SE,FT,Research Engineer,275000,USD,275000,DE,0,DE,M,43.22452146500078,40,Male,1983-04-17 02:02:08,Aries,Gemini,Aquarius,Fire,1,3,1,2,1,9,7,8,10,7
2023,SE,FT,Research Engineer,174000,USD,174000,DE,0,DE,M,42.684779095540826,36,Male,1987-03-25 21:14:45,Aries,Aquarius,Scorpio,Fire,4,2,,,,,,,,
2023,SE,FT,Analytics Engineer,230000,USD,230000,GB,100,GB,M,36.64199247285372,40,Male,1983-08-17 11:23:49,Leo,Sagittarius,Scorpio,Fire,9,1,10,9,8,1,,,,
2023,SE,FT,Analytics Engineer,143200,USD,143200,GB,100,GB,M,37.44140353384706,50,Male,1973-02-22 15:33:09,Pisces,Scorpio,Leo,Water,7,3,7,6,4,5,10,2,4,2
2023,SE,FT,Business Intelligence Engineer,225000,USD,225000,US,0,US,M,38.94108472268113,51,Male,1972-12-28 12:22:39,Capricorn,Libra,Capricorn,Earth,,,,,,,,,,
2023,SE,FT,Business Intelligence Engineer,156400,USD,156400,US,0,US,M,41.21458481762025,39,Male,1984-04-23 17:10:36,Taurus,Aquarius,Leo,Earth,8,5,8,8,3,4,3,4,4,2
2023,SE,FT,Machine Learning Engineer,200000,USD,200000,US,0,US,M,35.19845915494292,50,Male,1973-10-22 05:13:49,Libra,Virgo,Leo,Air,2,1,3,4,8,5,10,2,3,2
2023,SE,FT,Machine Learning Engineer,130000,USD,130000,US,0,US,M,29.742618097206826,49,Male,1974-08-26 09:45:35,Virgo,Sagittarius,Leo,Earth,,,,,,,,,,
2023,SE,FT,Data Strategist,90000,USD,90000,CA,0,CA,M,46.689213553592744,38,Male,1985-10-24 17:48:14,Scorpio,Pisces,Capricorn,Water,8,,,,,,,,,
2023,SE,FT,Data Strategist,72000,USD,72000,CA,0,CA,M,42.613121830645724,48,Male,1975-05-07 09:51:19,Taurus,Aries,Taurus,Earth,,,,,,,,,,
2023,SE,FT,Data Engineer,253200,USD,253200,US,0,US,M,35.59206533330418,41,Male,1982-10-06 17:07:34,Libra,Gemini,Sagittarius,Air,8,4,8,8,,,,,,
2023,SE,FT,Data Engineer,90700,USD,90700,US,0,US,M,33.731323389876906,37,Male,1986-01-14 00:59:49,Capricorn,Pisces,Leo,Earth,4,6,4,4,2,5,3,3,4,2
2023,SE,FT,Computer Vision Engineer,342810,USD,342810,US,0,US,M,35.16311287949674,48,Male,1975-03-04 23:07:45,Pisces,Sagittarius,Virgo,Water,5,3,4,7,4,,,,,
2023,SE,FT,Computer Vision Engineer,184590,USD,184590,US,0,US,M,38.96593559926131,48,Male,1975-06-12 03:54:06,Gemini,Cancer,Aquarius,Air,3,5,3,5,1,1,5,7,9,7
2023,MI,FT,Data Engineer,162500,USD,162500,US,0,US,M,34.98195470964295,27,Male,1996-12-16 04:29:47,Sagittarius,Pisces,Virgo,Fire,3,5,3,2,,,,,,
2023,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M,36.732501222995865,27,Male,1996-02-03 20:07:19,Aquarius,Leo,Cancer,Air,7,,,,,,,,,
2023,MI,FT,Data Analyst,105380,USD,105380,US,0,US,M,40.6983428198113,39,Male,1984-04-13 15:29:40,Aries,Virgo,Cancer,Fire,,,,,,,,,,
2023,MI,FT,Data Analyst,64500,USD,64500,US,0,US,M,39.7690739362621,37,Female,1986-09-14 17:45:42,Virgo,Aquarius,Sagittarius,Earth,8,1,8,10,1,,,,,
2023,EN,FT,Data Quality Analyst,100000,USD,100000,NG,100,NG,L,48.10962752012492,19,Male,2004-08-17 10:08:50,Leo,Virgo,Scorpio,Fire,9,10,10,8,9,10,8,,,
2023,EN,FT,Compliance Data Analyst,30000,USD,30000,NG,100,NG,L,41.41559025250392,20,Female,2003-07-28 01:06:37,Leo,Cancer,Gemini,Fire,2,1,2,2,9,2,1,9,8,6
2022,MI,FT,Machine Learning Engineer,1650000,INR,20984,IN,50,IN,L,33.74189920528481,31,Female,1991-03-03 17:59:48,Pisces,Libra,Scorpio,Water,3,10,3,,,,,,,
2023,EN,FT,Applied Scientist,204620,USD,204620,US,0,US,L,35.39377991068379,17,Male,2006-12-27 18:05:40,Capricorn,Aries,Taurus,Earth,8,,,,,,,,,
